"Word"	"dlugosc"	"FreqSum"	" X"	" XX"
"jest"	4	15539	" 0.00528145"	" 5281.45"
"roku"	4	9952	" 0.00338252"	" 3382.52"
"oraz"	4	6443	" 0.00218987"	" 2189.87"
"jego"	4	5392	" 0.00183265"	" 1832.65"
"tego"	4	4280	" 0.0014547"	" 1454.7"
"unii"	4	3548	" 0.00120591"	" 1205.91"
"może"	4	3340	" 0.00113521"	" 1135.21"
"osób"	4	2949	" 0.00100232"	" 1002.32"
"jako"	4	2882	" 0.000979544"	" 979.544"
"będą"	4	2851	" 0.000969008"	" 969.008"
"szef"	4	2180	" 0.000740946"	" 740.946"
"przy"	4	2026	" 0.000688604"	" 688.604"
"rząd"	4	1978	" 0.00067229"	" 672.29"
"było"	4	1921	" 0.000652916"	" 652.916"
"rady"	4	1859	" 0.000631844"	" 631.844"
"były"	4	1849	" 0.000628445"	" 628.445"
"tych"	4	1738	" 0.000590718"	" 590.718"
"była"	4	1653	" 0.000561828"	" 561.828"
"maja"	4	1615	" 0.000548912"	" 548.912"
"nich"	4	1405	" 0.000477536"	" 477.536"
"nato"	4	1314	" 0.000446607"	" 446.607"
"trzy"	4	1298	" 0.000441169"	" 441.169"
"mogł"	4	1273	" 0.000432672"	" 432.672"
"euro"	4	1270	" 0.000431652"	" 431.652"
"chce"	4	1200	" 0.00040786"	" 407.86"
"sadu"	4	1074	" 0.000365035"	" 365.035"
"temu"	4	1073	" 0.000364695"	" 364.695"
"miał"	4	968	" 0.000329007"	" 329.007"
"praw"	4	964	" 0.000327648"	" 327.648"
"maja"	4	950	" 0.000322889"	" 322.889"
"prof"	4	946	" 0.00032153"	" 321.53"
"ligi"	4	939	" 0.000319151"	" 319.151"
"rada"	4	916	" 0.000311333"	" 311.333"
"bank"	4	879	" 0.000298758"	" 298.758"
"unia"	4	879	" 0.000298758"	" 298.758"
"jana"	4	812	" 0.000275985"	" 275.985"
"lata"	4	793	" 0.000269528"	" 269.528"
"temp"	4	787	" 0.000267488"	" 267.488"
